INFO 	 2019-04-21 02:27:33,404 Serial port COM3 opened successfully.
INFO 	 2019-04-21 02:27:33,404 Running: 1000 tests with baud rate: 9600
DEBUG 	 2019-04-21 02:27:33,405 P ------> Q
DEBUG 	 2019-04-21 02:27:33,406 D ------> E
DEBUG 	 2019-04-21 02:27:33,407 Z ------> A
DEBUG 	 2019-04-21 02:27:33,408 Q ------> R
DEBUG 	 2019-04-21 02:27:33,409 b ------> c
DEBUG 	 2019-04-21 02:27:33,410 u ------> v
DEBUG 	 2019-04-21 02:27:33,411 r ------> s
DEBUG 	 2019-04-21 02:27:33,412 Z ------> A
DEBUG 	 2019-04-21 02:27:33,413 m ------> n
DEBUG 	 2019-04-21 02:27:33,414 p ------> q
DEBUG 	 2019-04-21 02:27:33,415 z ------> a
DEBUG 	 2019-04-21 02:27:33,416 y ------> z
DEBUG 	 2019-04-21 02:27:33,417 Y ------> Z
DEBUG 	 2019-04-21 02:27:33,418 h ------> i
DEBUG 	 2019-04-21 02:27:33,424 q ------> r
DEBUG 	 2019-04-21 02:27:33,425 C ------> D
DEBUG 	 2019-04-21 02:27:33,426 S ------> T
DEBUG 	 2019-04-21 02:27:33,427 h ------> i
DEBUG 	 2019-04-21 02:27:33,428 z ------> a
DEBUG 	 2019-04-21 02:27:33,429 l ------> m
DEBUG 	 2019-04-21 02:27:33,430 k ------> l
DEBUG 	 2019-04-21 02:27:33,431 E ------> F
DEBUG 	 2019-04-21 02:27:33,432 S ------> T
DEBUG 	 2019-04-21 02:27:33,433 y ------> z
DEBUG 	 2019-04-21 02:27:33,434 w ------> x
DEBUG 	 2019-04-21 02:27:33,435 Q ------> R
DEBUG 	 2019-04-21 02:27:33,436 B ------> C
DEBUG 	 2019-04-21 02:27:33,437 O ------> P
DEBUG 	 2019-04-21 02:27:33,438 s ------> t
DEBUG 	 2019-04-21 02:27:33,439 l ------> m
DEBUG 	 2019-04-21 02:27:33,440 g ------> h
DEBUG 	 2019-04-21 02:27:33,441 F ------> G
DEBUG 	 2019-04-21 02:27:33,442 h ------> i
DEBUG 	 2019-04-21 02:27:33,443 n ------> o
DEBUG 	 2019-04-21 02:27:33,444 I ------> J
DEBUG 	 2019-04-21 02:27:33,445 D ------> E
DEBUG 	 2019-04-21 02:27:33,446 d ------> e
DEBUG 	 2019-04-21 02:27:33,447 E ------> F
DEBUG 	 2019-04-21 02:27:33,448 Y ------> Z
DEBUG 	 2019-04-21 02:27:33,449 q ------> r
DEBUG 	 2019-04-21 02:27:33,450 J ------> K
DEBUG 	 2019-04-21 02:27:33,451 M ------> N
DEBUG 	 2019-04-21 02:27:33,452 i ------> j
DEBUG 	 2019-04-21 02:27:33,453 C ------> D
DEBUG 	 2019-04-21 02:27:33,454 f ------> g
DEBUG 	 2019-04-21 02:27:33,455 L ------> M
DEBUG 	 2019-04-21 02:27:33,456 w ------> x
DEBUG 	 2019-04-21 02:27:33,457 n ------> o
DEBUG 	 2019-04-21 02:27:33,458 Z ------> A
DEBUG 	 2019-04-21 02:27:33,459 q ------> r
DEBUG 	 2019-04-21 02:27:33,460 j ------> k
DEBUG 	 2019-04-21 02:27:33,461 D ------> E
DEBUG 	 2019-04-21 02:27:33,462 i ------> j
DEBUG 	 2019-04-21 02:27:33,463 U ------> V
DEBUG 	 2019-04-21 02:27:33,464 t ------> u
DEBUG 	 2019-04-21 02:27:33,465 g ------> h
DEBUG 	 2019-04-21 02:27:33,466 u ------> v
DEBUG 	 2019-04-21 02:27:33,467 T ------> U
DEBUG 	 2019-04-21 02:27:33,468 S ------> T
DEBUG 	 2019-04-21 02:27:33,469 I ------> J
DEBUG 	 2019-04-21 02:27:33,470 r ------> s
DEBUG 	 2019-04-21 02:27:33,471 D ------> E
DEBUG 	 2019-04-21 02:27:33,472 I ------> J
DEBUG 	 2019-04-21 02:27:33,473 R ------> S
DEBUG 	 2019-04-21 02:27:33,474 M ------> N
DEBUG 	 2019-04-21 02:27:33,475 e ------> f
DEBUG 	 2019-04-21 02:27:33,476 w ------> x
DEBUG 	 2019-04-21 02:27:33,477 z ------> a
DEBUG 	 2019-04-21 02:27:33,478 P ------> Q
DEBUG 	 2019-04-21 02:27:33,479 s ------> t
DEBUG 	 2019-04-21 02:27:33,480 y ------> z
DEBUG 	 2019-04-21 02:27:33,481 a ------> b
DEBUG 	 2019-04-21 02:27:33,482 V ------> W
DEBUG 	 2019-04-21 02:27:33,483 x ------> y
DEBUG 	 2019-04-21 02:27:33,484 g ------> h
DEBUG 	 2019-04-21 02:27:33,485 w ------> x
DEBUG 	 2019-04-21 02:27:33,486 T ------> U
DEBUG 	 2019-04-21 02:27:33,487 r ------> s
DEBUG 	 2019-04-21 02:27:33,488 H ------> I
DEBUG 	 2019-04-21 02:27:33,489 k ------> l
DEBUG 	 2019-04-21 02:27:33,490 Z ------> A
DEBUG 	 2019-04-21 02:27:33,491 a ------> b
DEBUG 	 2019-04-21 02:27:33,492 V ------> W
DEBUG 	 2019-04-21 02:27:33,493 l ------> m
DEBUG 	 2019-04-21 02:27:33,494 s ------> t
DEBUG 	 2019-04-21 02:27:33,495 A ------> B
DEBUG 	 2019-04-21 02:27:33,496 f ------> g
DEBUG 	 2019-04-21 02:27:33,497 A ------> B
DEBUG 	 2019-04-21 02:27:33,498 O ------> P
DEBUG 	 2019-04-21 02:27:33,499 z ------> a
DEBUG 	 2019-04-21 02:27:33,500 l ------> m
DEBUG 	 2019-04-21 02:27:33,501 p ------> q
DEBUG 	 2019-04-21 02:27:33,502 d ------> e
DEBUG 	 2019-04-21 02:27:33,503 g ------> h
DEBUG 	 2019-04-21 02:27:33,504 q ------> r
DEBUG 	 2019-04-21 02:27:33,505 o ------> p
DEBUG 	 2019-04-21 02:27:33,506 C ------> D
DEBUG 	 2019-04-21 02:27:33,507 n ------> o
DEBUG 	 2019-04-21 02:27:33,508 t ------> u
DEBUG 	 2019-04-21 02:27:33,509 U ------> V
DEBUG 	 2019-04-21 02:27:33,510 n ------> o
DEBUG 	 2019-04-21 02:27:33,511 w ------> x
DEBUG 	 2019-04-21 02:27:33,512 W ------> X
DEBUG 	 2019-04-21 02:27:33,513 o ------> p
DEBUG 	 2019-04-21 02:27:33,514 u ------> v
DEBUG 	 2019-04-21 02:27:33,515 X ------> Y
DEBUG 	 2019-04-21 02:27:33,516 m ------> n
DEBUG 	 2019-04-21 02:27:33,517 d ------> e
DEBUG 	 2019-04-21 02:27:33,518 V ------> W
DEBUG 	 2019-04-21 02:27:33,519 M ------> N
DEBUG 	 2019-04-21 02:27:33,520 U ------> V
