INFO 	 2019-04-21 02:31:54,044 Serial port COM3 opened successfully.
INFO 	 2019-04-21 02:31:54,044 Running: 1000 tests with baud rate: 500000
DEBUG 	 2019-04-21 02:31:54,045 UUUUU ------> VVVVV
DEBUG 	 2019-04-21 02:31:54,046 iiiii ------> jjjjj
DEBUG 	 2019-04-21 02:31:54,047 aaaaa ------> bbbbb
DEBUG 	 2019-04-21 02:31:54,048 ccccc ------> ddddd
DEBUG 	 2019-04-21 02:31:54,049 hhhhh ------> iiiii
DEBUG 	 2019-04-21 02:31:54,050 QQQQQ ------> RRRRR
DEBUG 	 2019-04-21 02:31:54,051 HHHHH ------> IIIII
DEBUG 	 2019-04-21 02:31:54,052 ddddd ------> eeeee
DEBUG 	 2019-04-21 02:31:54,053 SSSSS ------> TTTTT
DEBUG 	 2019-04-21 02:31:54,054 ZZZZZ ------> AAAAA
DEBUG 	 2019-04-21 02:31:54,055 sssss ------> ttttt
DEBUG 	 2019-04-21 02:31:54,056 iiiii ------> jjjjj
DEBUG 	 2019-04-21 02:31:54,062 OOOOO ------> PPPPP
DEBUG 	 2019-04-21 02:31:54,063 ttttt ------> uuuuu
DEBUG 	 2019-04-21 02:31:54,064 RRRRR ------> SSSSS
DEBUG 	 2019-04-21 02:31:54,065 mmmmm ------> nnnnn
DEBUG 	 2019-04-21 02:31:54,066 ZZZZZ ------> AAAAA
DEBUG 	 2019-04-21 02:31:54,067 ggggg ------> hhhhh
DEBUG 	 2019-04-21 02:31:54,068 bbbbb ------> ccccc
DEBUG 	 2019-04-21 02:31:54,069 xxxxx ------> yyyyy
DEBUG 	 2019-04-21 02:31:54,070 rrrrr ------> sssss
DEBUG 	 2019-04-21 02:31:54,071 JJJJJ ------> KKKKK
DEBUG 	 2019-04-21 02:31:54,072 UUUUU ------> VVVVV
DEBUG 	 2019-04-21 02:31:54,073 ttttt ------> uuuuu
DEBUG 	 2019-04-21 02:31:54,074 sssss ------> ttttt
DEBUG 	 2019-04-21 02:31:54,075 uuuuu ------> vvvvv
DEBUG 	 2019-04-21 02:31:54,076 EEEEE ------> FFFFF
DEBUG 	 2019-04-21 02:31:54,077 ooooo ------> ppppp
DEBUG 	 2019-04-21 02:31:54,078 vvvvv ------> wwwww
DEBUG 	 2019-04-21 02:31:54,079 FFFFF ------> GGGGG
DEBUG 	 2019-04-21 02:31:54,080 bbbbb ------> ccccc
