INFO 	 2019-04-21 02:29:54,272 Serial port COM3 opened successfully.
INFO 	 2019-04-21 02:29:54,272 Running: 1000 tests with baud rate: 1500000
DEBUG 	 2019-04-21 02:29:54,273 h ------> i
DEBUG 	 2019-04-21 02:29:54,274 N ------> O
DEBUG 	 2019-04-21 02:29:54,275 i ------> j
DEBUG 	 2019-04-21 02:29:54,276 M ------> N
DEBUG 	 2019-04-21 02:29:54,277 E ------> F
DEBUG 	 2019-04-21 02:29:54,278 i ------> j
DEBUG 	 2019-04-21 02:29:54,279 d ------> e
DEBUG 	 2019-04-21 02:29:54,280 g ------> h
DEBUG 	 2019-04-21 02:29:54,281 b ------> c
DEBUG 	 2019-04-21 02:29:54,282 y ------> z
DEBUG 	 2019-04-21 02:29:54,283 B ------> C
DEBUG 	 2019-04-21 02:29:54,284 V ------> W
DEBUG 	 2019-04-21 02:29:54,285 e ------> f
DEBUG 	 2019-04-21 02:29:54,290 a ------> b
DEBUG 	 2019-04-21 02:29:54,291 q ------> r
DEBUG 	 2019-04-21 02:29:54,292 I ------> J
DEBUG 	 2019-04-21 02:29:54,293 G ------> H
DEBUG 	 2019-04-21 02:29:54,293 O ------> P
DEBUG 	 2019-04-21 02:29:54,294 i ------> j
DEBUG 	 2019-04-21 02:29:54,295 D ------> E
DEBUG 	 2019-04-21 02:29:54,296 N ------> O
DEBUG 	 2019-04-21 02:29:54,297 i ------> j
DEBUG 	 2019-04-21 02:29:54,298 d ------> e
DEBUG 	 2019-04-21 02:29:54,299 v ------> w
DEBUG 	 2019-04-21 02:29:54,300 e ------> f
DEBUG 	 2019-04-21 02:29:54,301 Z ------> A
DEBUG 	 2019-04-21 02:29:54,302 z ------> a
DEBUG 	 2019-04-21 02:29:54,303 T ------> U
DEBUG 	 2019-04-21 02:29:54,304 J ------> K
DEBUG 	 2019-04-21 02:29:54,305 f ------> g
DEBUG 	 2019-04-21 02:29:54,306 z ------> a
DEBUG 	 2019-04-21 02:29:54,307 v ------> w
DEBUG 	 2019-04-21 02:29:54,308 U ------> V
DEBUG 	 2019-04-21 02:29:54,309 n ------> o
DEBUG 	 2019-04-21 02:29:54,310 W ------> X
DEBUG 	 2019-04-21 02:29:54,311 b ------> c
DEBUG 	 2019-04-21 02:29:54,312 F ------> G
