INFO 	 2019-04-21 02:32:06,147 Serial port COM3 opened successfully.
INFO 	 2019-04-21 02:32:06,147 Running: 1000 tests with baud rate: 200000
DEBUG 	 2019-04-21 02:32:06,148 yyyyy ------> zzzzz
DEBUG 	 2019-04-21 02:32:06,149 QQQQQ ------> RRRRR
DEBUG 	 2019-04-21 02:32:06,150 HHHHH ------> IIIII
DEBUG 	 2019-04-21 02:32:06,151 JJJJJ ------> KKKKK
DEBUG 	 2019-04-21 02:32:06,152 uuuuu ------> vvvvv
DEBUG 	 2019-04-21 02:32:06,153 rrrrr ------> sssss
DEBUG 	 2019-04-21 02:32:06,154 YYYYY ------> ZZZZZ
DEBUG 	 2019-04-21 02:32:06,155 ppppp ------> qqqqq
DEBUG 	 2019-04-21 02:32:06,156 BBBBB ------> CCCCC
DEBUG 	 2019-04-21 02:32:06,157 VVVVV ------> WWWWW
DEBUG 	 2019-04-21 02:32:06,158 iiiii ------> jjjjj
DEBUG 	 2019-04-21 02:32:06,159 HHHHH ------> IIIII
DEBUG 	 2019-04-21 02:32:06,165 CCCCC ------> DDDDD
DEBUG 	 2019-04-21 02:32:06,166 ppppp ------> qqqqq
DEBUG 	 2019-04-21 02:32:06,167 OOOOO ------> PPPPP
DEBUG 	 2019-04-21 02:32:06,168 ppppp ------> qqqqq
DEBUG 	 2019-04-21 02:32:06,169 EEEEE ------> FFFFF
DEBUG 	 2019-04-21 02:32:06,170 SSSSS ------> TTTTT
DEBUG 	 2019-04-21 02:32:06,171 bbbbb ------> ccccc
DEBUG 	 2019-04-21 02:32:06,172 ggggg ------> hhhhh
DEBUG 	 2019-04-21 02:32:06,173 IIIII ------> JJJJJ
DEBUG 	 2019-04-21 02:32:06,174 SSSSS ------> TTTTT
DEBUG 	 2019-04-21 02:32:06,175 HHHHH ------> IIIII
DEBUG 	 2019-04-21 02:32:06,176 JJJJJ ------> KKKKK
DEBUG 	 2019-04-21 02:32:06,177 YYYYY ------> ZZZZZ
DEBUG 	 2019-04-21 02:32:06,178 HHHHH ------> IIIII
DEBUG 	 2019-04-21 02:32:06,179 ppppp ------> qqqqq
DEBUG 	 2019-04-21 02:32:06,180 BBBBB ------> CCCCC
DEBUG 	 2019-04-21 02:32:06,181 UUUUU ------> VVVVV
DEBUG 	 2019-04-21 02:32:06,182 AAAAA ------> BBBBB
DEBUG 	 2019-04-21 02:32:06,183 ggggg ------> hhhhh
DEBUG 	 2019-04-21 02:32:06,184 vvvvv ------> wwwww
DEBUG 	 2019-04-21 02:32:06,185 iiiii ------> jjjjj
DEBUG 	 2019-04-21 02:32:06,186 IIIII ------> JJJJJ
DEBUG 	 2019-04-21 02:32:06,187 SSSSS ------> TTTTT
DEBUG 	 2019-04-21 02:32:06,188 aaaaa ------> bbbbb
DEBUG 	 2019-04-21 02:32:06,189 mmmmm ------> nnnnn
DEBUG 	 2019-04-21 02:32:06,190 WWWWW ------> XXXXX
DEBUG 	 2019-04-21 02:32:06,191 ooooo ------> ppppp
DEBUG 	 2019-04-21 02:32:06,192 hhhhh ------> iiiii
DEBUG 	 2019-04-21 02:32:06,193 mmmmm ------> nnnnn
DEBUG 	 2019-04-21 02:32:06,194 yyyyy ------> zzzzz
DEBUG 	 2019-04-21 02:32:06,195 zzzzz ------> aaaaa
DEBUG 	 2019-04-21 02:32:06,196 MMMMM ------> NNNNN
DEBUG 	 2019-04-21 02:32:06,197 rrrrr ------> sssss
DEBUG 	 2019-04-21 02:32:06,198 ccccc ------> ddddd
DEBUG 	 2019-04-21 02:32:06,199 ggggg ------> hhhhh
DEBUG 	 2019-04-21 02:32:06,200 vvvvv ------> wwwww
DEBUG 	 2019-04-21 02:32:06,201 ooooo ------> ppppp
DEBUG 	 2019-04-21 02:32:06,202 iiiii ------> jjjjj
DEBUG 	 2019-04-21 02:32:06,203 mmmmm ------> nnnnn
DEBUG 	 2019-04-21 02:32:06,204 ppppp ------> qqqqq
DEBUG 	 2019-04-21 02:32:06,205 jjjjj ------> kkkkk
DEBUG 	 2019-04-21 02:32:06,206 uuuuu ------> vvvvv
DEBUG 	 2019-04-21 02:32:06,207 VVVVV ------> WWWWW
DEBUG 	 2019-04-21 02:32:06,208 uuuuu ------> vvvvv
DEBUG 	 2019-04-21 02:32:06,209 JJJJJ ------> KKKKK
DEBUG 	 2019-04-21 02:32:06,210 iiiii ------> jjjjj
DEBUG 	 2019-04-21 02:32:06,211 RRRRR ------> SSSSS
DEBUG 	 2019-04-21 02:32:06,212 FFFFF ------> GGGGG
DEBUG 	 2019-04-21 02:32:06,213 ddddd ------> eeeee
DEBUG 	 2019-04-21 02:32:06,214 kkkkk ------> lllll
DEBUG 	 2019-04-21 02:32:06,215 ooooo ------> ppppp
DEBUG 	 2019-04-21 02:32:06,216 DDDDD ------> EEEEE
DEBUG 	 2019-04-21 02:32:06,217 IIIII ------> JJJJJ
DEBUG 	 2019-04-21 02:32:06,218 ggggg ------> hhhhh
DEBUG 	 2019-04-21 02:32:06,219 jjjjj ------> kkkkk
DEBUG 	 2019-04-21 02:32:06,220 TTTTT ------> UUUUU
DEBUG 	 2019-04-21 02:32:06,221 hhhhh ------> iiiii
DEBUG 	 2019-04-21 02:32:06,222 YYYYY ------> ZZZZZ
DEBUG 	 2019-04-21 02:32:06,223 lllll ------> mmmmm
DEBUG 	 2019-04-21 02:32:06,224 iiiii ------> jjjjj
DEBUG 	 2019-04-21 02:32:06,225 ooooo ------> ppppp
DEBUG 	 2019-04-21 02:32:06,226 KKKKK ------> LLLLL
DEBUG 	 2019-04-21 02:32:06,227 CCCCC ------> DDDDD
DEBUG 	 2019-04-21 02:32:06,228 rrrrr ------> sssss
DEBUG 	 2019-04-21 02:32:06,229 ggggg ------> hhhhh
DEBUG 	 2019-04-21 02:32:06,230 PPPPP ------> QQQQQ
DEBUG 	 2019-04-21 02:32:06,231 lllll ------> mmmmm
DEBUG 	 2019-04-21 02:32:06,232 CCCCC ------> DDDDD
DEBUG 	 2019-04-21 02:32:06,233 eeeee ------> fffff
