INFO 	 2019-04-21 02:32:56,615 Serial port COM3 opened successfully.
INFO 	 2019-04-21 02:32:56,615 Running: 1000 tests with baud rate: 9600
DEBUG 	 2019-04-21 02:32:56,616 qqqqq ------> rrrrr
DEBUG 	 2019-04-21 02:32:56,617 ppppp ------> qqqqq
DEBUG 	 2019-04-21 02:32:56,618 wwwww ------> xxxxx
DEBUG 	 2019-04-21 02:32:56,619 yyyyy ------> zzzzz
DEBUG 	 2019-04-21 02:32:56,620 WWWWW ------> XXXXX
DEBUG 	 2019-04-21 02:32:56,621 DDDDD ------> EEEEE
DEBUG 	 2019-04-21 02:32:56,622 EEEEE ------> FFFFF
DEBUG 	 2019-04-21 02:32:56,623 IIIII ------> JJJJJ
DEBUG 	 2019-04-21 02:32:56,624 VVVVV ------> WWWWW
DEBUG 	 2019-04-21 02:32:56,625 nnnnn ------> ooooo
DEBUG 	 2019-04-21 02:32:56,626 ccccc ------> ddddd
DEBUG 	 2019-04-21 02:32:56,627 IIIII ------> JJJJJ
DEBUG 	 2019-04-21 02:32:56,633 lllll ------> mmmmm
DEBUG 	 2019-04-21 02:32:56,634 OOOOO ------> PPPPP
DEBUG 	 2019-04-21 02:32:56,635 PPPPP ------> QQQQQ
DEBUG 	 2019-04-21 02:32:56,636 MMMMM ------> NNNNN
DEBUG 	 2019-04-21 02:32:56,637 KKKKK ------> LLLLL
DEBUG 	 2019-04-21 02:32:56,638 ZZZZZ ------> AAAAA
DEBUG 	 2019-04-21 02:32:56,639 xxxxx ------> yyyyy
DEBUG 	 2019-04-21 02:32:56,640 EEEEE ------> FFFFF
DEBUG 	 2019-04-21 02:32:56,641 wwwww ------> xxxxx
DEBUG 	 2019-04-21 02:32:56,642 uuuuu ------> vvvvv
DEBUG 	 2019-04-21 02:32:56,643 qqqqq ------> rrrrr
DEBUG 	 2019-04-21 02:32:56,644 HHHHH ------> IIIII
DEBUG 	 2019-04-21 02:32:56,645 EEEEE ------> FFFFF
DEBUG 	 2019-04-21 02:32:56,646 ooooo ------> ppppp
DEBUG 	 2019-04-21 02:32:56,647 kkkkk ------> lllll
DEBUG 	 2019-04-21 02:32:56,648 ZZZZZ ------> AAAAA
DEBUG 	 2019-04-21 02:32:56,649 KKKKK ------> LLLLL
DEBUG 	 2019-04-21 02:32:56,650 ZZZZZ ------> AAAAA
DEBUG 	 2019-04-21 02:32:56,651 nnnnn ------> ooooo
DEBUG 	 2019-04-21 02:32:56,652 RRRRR ------> SSSSS
DEBUG 	 2019-04-21 02:32:56,653 SSSSS ------> TTTTT
DEBUG 	 2019-04-21 02:32:56,654 AAAAA ------> BBBBB
DEBUG 	 2019-04-21 02:32:56,655 IIIII ------> JJJJJ
DEBUG 	 2019-04-21 02:32:56,656 MMMMM ------> NNNNN
DEBUG 	 2019-04-21 02:32:56,657 RRRRR ------> SSSSS
DEBUG 	 2019-04-21 02:32:56,658 NNNNN ------> OOOOO
DEBUG 	 2019-04-21 02:32:56,659 iiiii ------> jjjjj
DEBUG 	 2019-04-21 02:32:56,660 ggggg ------> hhhhh
DEBUG 	 2019-04-21 02:32:56,661 LLLLL ------> MMMMM
DEBUG 	 2019-04-21 02:32:56,662 RRRRR ------> SSSSS
DEBUG 	 2019-04-21 02:32:56,663 ooooo ------> ppppp
DEBUG 	 2019-04-21 02:32:56,664 LLLLL ------> MMMMM
DEBUG 	 2019-04-21 02:32:56,665 SSSSS ------> TTTTT
DEBUG 	 2019-04-21 02:32:56,666 PPPPP ------> QQQQQ
DEBUG 	 2019-04-21 02:32:56,667 hhhhh ------> iiiii
DEBUG 	 2019-04-21 02:32:56,668 GGGGG ------> HHHHH
DEBUG 	 2019-04-21 02:32:56,669 IIIII ------> JJJJJ
DEBUG 	 2019-04-21 02:32:56,670 DDDDD ------> EEEEE
DEBUG 	 2019-04-21 02:32:56,671 hhhhh ------> iiiii
DEBUG 	 2019-04-21 02:32:56,672 qqqqq ------> rrrrr
DEBUG 	 2019-04-21 02:32:56,673 DDDDD ------> EEEEE
DEBUG 	 2019-04-21 02:32:56,674 ttttt ------> uuuuu
