INFO 	 2019-04-21 02:31:38,773 Serial port COM3 opened successfully.
INFO 	 2019-04-21 02:31:38,773 Running: 1000 tests with baud rate: 650000
DEBUG 	 2019-04-21 02:31:38,774 QQQQQ ------> RRRRR
DEBUG 	 2019-04-21 02:31:38,775 WWWWW ------> XXXXX
DEBUG 	 2019-04-21 02:31:38,776 nnnnn ------> ooooo
DEBUG 	 2019-04-21 02:31:38,777 OOOOO ------> PPPPP
DEBUG 	 2019-04-21 02:31:38,778 yyyyy ------> zzzzz
DEBUG 	 2019-04-21 02:31:38,779 ZZZZZ ------> AAAAA
DEBUG 	 2019-04-21 02:31:38,780 eeeee ------> fffff
DEBUG 	 2019-04-21 02:31:38,781 CCCCC ------> DDDDD
DEBUG 	 2019-04-21 02:31:38,782 SSSSS ------> TTTTT
DEBUG 	 2019-04-21 02:31:38,783 jjjjj ------> kkkkk
DEBUG 	 2019-04-21 02:31:38,784 DDDDD ------> EEEEE
DEBUG 	 2019-04-21 02:31:38,785 uuuuu ------> vvvvv
DEBUG 	 2019-04-21 02:31:38,791 vvvvv ------> wwwww
DEBUG 	 2019-04-21 02:31:38,792 CCCCC ------> DDDDD
DEBUG 	 2019-04-21 02:31:38,793 xxxxx ------> yyyyy
DEBUG 	 2019-04-21 02:31:38,794 zzzzz ------> aaaaa
DEBUG 	 2019-04-21 02:31:38,795 JJJJJ ------> KKKKK
DEBUG 	 2019-04-21 02:31:38,796 sssss ------> ttttt
DEBUG 	 2019-04-21 02:31:38,797 zzzzz ------> aaaaa
DEBUG 	 2019-04-21 02:31:38,798 iiiii ------> jjjjj
DEBUG 	 2019-04-21 02:31:38,799 yyyyy ------> zzzzz
DEBUG 	 2019-04-21 02:31:38,800 fffff ------> ggggg
DEBUG 	 2019-04-21 02:31:38,801 ppppp ------> qqqqq
DEBUG 	 2019-04-21 02:31:38,802 lllll ------> mmmmm
DEBUG 	 2019-04-21 02:31:38,803 ggggg ------> hhhhh
DEBUG 	 2019-04-21 02:31:38,804 GGGGG ------> HHHHH
DEBUG 	 2019-04-21 02:31:38,805 UUUUU ------> VVVVV
DEBUG 	 2019-04-21 02:31:38,806 AAAAA ------> BBBBB
DEBUG 	 2019-04-21 02:31:38,807 bbbbb ------> ccccc
DEBUG 	 2019-04-21 02:31:38,808 vvvvv ------> wwwww
DEBUG 	 2019-04-21 02:31:38,809 nnnnn ------> ooooo
DEBUG 	 2019-04-21 02:31:38,810 mmmmm ------> nnnnn
DEBUG 	 2019-04-21 02:31:38,811 RRRRR ------> SSSSS
DEBUG 	 2019-04-21 02:31:38,812 rrrrr ------> sssss
DEBUG 	 2019-04-21 02:31:38,813 FFFFF ------> GGGGG
DEBUG 	 2019-04-21 02:31:38,814 WWWWW ------> XXXXX
DEBUG 	 2019-04-21 02:31:38,816 TTTTT ------> UUUUU
DEBUG 	 2019-04-21 02:31:38,816 eeeee ------> fffff
DEBUG 	 2019-04-21 02:31:38,818 kkkkk ------> lllll
DEBUG 	 2019-04-21 02:31:38,818 FFFFF ------> GGGGG
DEBUG 	 2019-04-21 02:31:38,819 rrrrr ------> sssss
DEBUG 	 2019-04-21 02:31:38,820 ZZZZZ ------> AAAAA
DEBUG 	 2019-04-21 02:31:38,821 VVVVV ------> WWWWW
DEBUG 	 2019-04-21 02:31:38,822 fffff ------> ggggg
DEBUG 	 2019-04-21 02:31:38,823 YYYYY ------> ZZZZZ
DEBUG 	 2019-04-21 02:31:38,824 lllll ------> mmmmm
DEBUG 	 2019-04-21 02:31:38,825 nnnnn ------> ooooo
DEBUG 	 2019-04-21 02:31:38,826 IIIII ------> JJJJJ
DEBUG 	 2019-04-21 02:31:38,827 VVVVV ------> WWWWW
DEBUG 	 2019-04-21 02:31:38,828 LLLLL ------> MMMMM
DEBUG 	 2019-04-21 02:31:38,829 kkkkk ------> lllll
DEBUG 	 2019-04-21 02:31:38,830 zzzzz ------> aaaaa
DEBUG 	 2019-04-21 02:31:38,831 VVVVV ------> WWWWW
DEBUG 	 2019-04-21 02:31:38,832 yyyyy ------> zzzzz
DEBUG 	 2019-04-21 02:31:38,833 fffff ------> ggggg
DEBUG 	 2019-04-21 02:31:38,834 ZZZZZ ------> AAAAA
DEBUG 	 2019-04-21 02:31:38,835 zzzzz ------> aaaaa
DEBUG 	 2019-04-21 02:31:38,836 FFFFF ------> GGGGG
DEBUG 	 2019-04-21 02:31:38,837 KKKKK ------> LLLLL
DEBUG 	 2019-04-21 02:31:38,838 YYYYY ------> ZZZZZ
DEBUG 	 2019-04-21 02:31:38,839 HHHHH ------> IIIII
DEBUG 	 2019-04-21 02:31:38,840 EEEEE ------> FFFFF
DEBUG 	 2019-04-21 02:31:38,841 uuuuu ------> vvvvv
DEBUG 	 2019-04-21 02:31:38,842 KKKKK ------> LLLLL
DEBUG 	 2019-04-21 02:31:38,843 mmmmm ------> nnnnn
DEBUG 	 2019-04-21 02:31:38,844 IIIII ------> JJJJJ
DEBUG 	 2019-04-21 02:31:38,845 TTTTT ------> UUUUU
DEBUG 	 2019-04-21 02:31:38,846 yyyyy ------> zzzzz
DEBUG 	 2019-04-21 02:31:38,847 ooooo ------> ppppp
DEBUG 	 2019-04-21 02:31:38,848 fffff ------> ggggg
DEBUG 	 2019-04-21 02:31:38,849 KKKKK ------> LLLLL
DEBUG 	 2019-04-21 02:31:38,850 ppppp ------> qqqqq
DEBUG 	 2019-04-21 02:31:38,851 yyyyy ------> zzzzz
DEBUG 	 2019-04-21 02:31:38,852 wwwww ------> xxxxx
DEBUG 	 2019-04-21 02:31:38,853 aaaaa ------> bbbbb
DEBUG 	 2019-04-21 02:31:38,854 LLLLL ------> MMMMM
DEBUG 	 2019-04-21 02:31:38,855 JJJJJ ------> KKKKK
DEBUG 	 2019-04-21 02:31:38,856 SSSSS ------> TTTTT
DEBUG 	 2019-04-21 02:31:38,857 QQQQQ ------> RRRRR
DEBUG 	 2019-04-21 02:31:38,858 QQQQQ ------> RRRRR
DEBUG 	 2019-04-21 02:31:38,859 UUUUU ------> VVVVV
DEBUG 	 2019-04-21 02:31:38,860 eeeee ------> fffff
DEBUG 	 2019-04-21 02:31:38,861 vvvvv ------> wwwww
DEBUG 	 2019-04-21 02:31:38,862 DDDDD ------> EEEEE
DEBUG 	 2019-04-21 02:31:38,863 UUUUU ------> VVVVV
DEBUG 	 2019-04-21 02:31:38,864 lllll ------> mmmmm
DEBUG 	 2019-04-21 02:31:38,865 uuuuu ------> vvvvv
DEBUG 	 2019-04-21 02:31:38,866 eeeee ------> fffff
DEBUG 	 2019-04-21 02:31:38,867 lllll ------> mmmmm
DEBUG 	 2019-04-21 02:31:38,868 NNNNN ------> OOOOO
DEBUG 	 2019-04-21 02:31:38,869 mmmmm ------> nnnnn
DEBUG 	 2019-04-21 02:31:38,870 EEEEE ------> FFFFF
DEBUG 	 2019-04-21 02:31:38,871 aaaaa ------> bbbbb
DEBUG 	 2019-04-21 02:31:38,872 xxxxx ------> yyyyy
DEBUG 	 2019-04-21 02:31:38,873 XXXXX ------> YYYYY
DEBUG 	 2019-04-21 02:31:38,874 EEEEE ------> FFFFF
DEBUG 	 2019-04-21 02:31:38,875 XXXXX ------> YYYYY
DEBUG 	 2019-04-21 02:31:38,876 wwwww ------> xxxxx
DEBUG 	 2019-04-21 02:31:38,877 vvvvv ------> wwwww
DEBUG 	 2019-04-21 02:31:38,878 uuuuu ------> vvvvv
DEBUG 	 2019-04-21 02:31:38,879 fffff ------> ggggg
DEBUG 	 2019-04-21 02:31:38,880 DDDDD ------> EEEEE
DEBUG 	 2019-04-21 02:31:38,881 vvvvv ------> wwwww
DEBUG 	 2019-04-21 02:31:38,882 PPPPP ------> QQQQQ
DEBUG 	 2019-04-21 02:31:38,883 ggggg ------> hhhhh
DEBUG 	 2019-04-21 02:31:38,884 uuuuu ------> vvvvv
DEBUG 	 2019-04-21 02:31:38,885 kkkkk ------> lllll
DEBUG 	 2019-04-21 02:31:38,886 EEEEE ------> FFFFF
DEBUG 	 2019-04-21 02:31:38,887 VVVVV ------> WWWWW
DEBUG 	 2019-04-21 02:31:38,888 fffff ------> ggggg
DEBUG 	 2019-04-21 02:31:38,889 rrrrr ------> sssss
DEBUG 	 2019-04-21 02:31:38,890 XXXXX ------> YYYYY
DEBUG 	 2019-04-21 02:31:38,891 xxxxx ------> yyyyy
DEBUG 	 2019-04-21 02:31:38,892 ggggg ------> hhhhh
DEBUG 	 2019-04-21 02:31:38,893 AAAAA ------> BBBBB
DEBUG 	 2019-04-21 02:31:38,894 FFFFF ------> GGGGG
DEBUG 	 2019-04-21 02:31:38,895 bbbbb ------> ccccc
DEBUG 	 2019-04-21 02:31:38,896 PPPPP ------> QQQQQ
DEBUG 	 2019-04-21 02:31:38,897 bbbbb ------> ccccc
DEBUG 	 2019-04-21 02:31:38,898 SSSSS ------> TTTTT
DEBUG 	 2019-04-21 02:31:38,899 PPPPP ------> QQQQQ
DEBUG 	 2019-04-21 02:31:38,900 iiiii ------> jjjjj
DEBUG 	 2019-04-21 02:31:38,901 UUUUU ------> VVVVV
DEBUG 	 2019-04-21 02:31:38,902 ppppp ------> qqqqq
DEBUG 	 2019-04-21 02:31:38,903 OOOOO ------> PPPPP
DEBUG 	 2019-04-21 02:31:38,904 qqqqq ------> rrrrr
DEBUG 	 2019-04-21 02:31:38,905 WWWWW ------> XXXXX
DEBUG 	 2019-04-21 02:31:38,906 IIIII ------> JJJJJ
DEBUG 	 2019-04-21 02:31:38,907 ZZZZZ ------> AAAAA
DEBUG 	 2019-04-21 02:31:38,908 SSSSS ------> TTTTT
DEBUG 	 2019-04-21 02:31:38,909 mmmmm ------> nnnnn
DEBUG 	 2019-04-21 02:31:38,910 EEEEE ------> FFFFF
DEBUG 	 2019-04-21 02:31:38,911 yyyyy ------> zzzzz
DEBUG 	 2019-04-21 02:31:38,912 YYYYY ------> ZZZZZ
DEBUG 	 2019-04-21 02:31:38,913 WWWWW ------> XXXXX
DEBUG 	 2019-04-21 02:31:38,914 MMMMM ------> NNNNN
DEBUG 	 2019-04-21 02:31:38,915 LLLLL ------> MMMMM
DEBUG 	 2019-04-21 02:31:38,916 ccccc ------> ddddd
DEBUG 	 2019-04-21 02:31:38,917 bbbbb ------> ccccc
DEBUG 	 2019-04-21 02:31:38,918 yyyyy ------> zzzzz
DEBUG 	 2019-04-21 02:31:38,919 sssss ------> ttttt
DEBUG 	 2019-04-21 02:31:38,920 aaaaa ------> bbbbb
DEBUG 	 2019-04-21 02:31:38,921 EEEEE ------> FFFFF
DEBUG 	 2019-04-21 02:31:38,922 EEEEE ------> FFFFF
DEBUG 	 2019-04-21 02:31:38,923 WWWWW ------> XXXXX
DEBUG 	 2019-04-21 02:31:38,924 DDDDD ------> EEEEE
DEBUG 	 2019-04-21 02:31:38,925 HHHHH ------> IIIII
DEBUG 	 2019-04-21 02:31:38,926 EEEEE ------> FFFFF
DEBUG 	 2019-04-21 02:31:38,927 yyyyy ------> zzzzz
DEBUG 	 2019-04-21 02:31:38,928 EEEEE ------> FFFFF
DEBUG 	 2019-04-21 02:31:38,929 NNNNN ------> OOOOO
DEBUG 	 2019-04-21 02:31:38,930 ooooo ------> ppppp
DEBUG 	 2019-04-21 02:31:38,931 ppppp ------> qqqqq
DEBUG 	 2019-04-21 02:31:38,932 VVVVV ------> WWWWW
DEBUG 	 2019-04-21 02:31:38,933 VVVVV ------> WWWWW
DEBUG 	 2019-04-21 02:31:38,934 wwwww ------> xxxxx
DEBUG 	 2019-04-21 02:31:38,935 wwwww ------> xxxxx
DEBUG 	 2019-04-21 02:31:38,936 HHHHH ------> IIIII
DEBUG 	 2019-04-21 02:31:38,937 OOOOO ------> PPPPP
DEBUG 	 2019-04-21 02:31:38,938 CCCCC ------> DDDDD
DEBUG 	 2019-04-21 02:31:38,939 DDDDD ------> EEEEE
DEBUG 	 2019-04-21 02:31:38,941 MMMMM ------> NNNNN
DEBUG 	 2019-04-21 02:31:38,941 HHHHH ------> IIIII
DEBUG 	 2019-04-21 02:31:38,942 RRRRR ------> SSSSS
DEBUG 	 2019-04-21 02:31:38,943 ggggg ------> hhhhh
DEBUG 	 2019-04-21 02:31:38,944 PPPPP ------> QQQQQ
DEBUG 	 2019-04-21 02:31:38,945 rrrrr ------> sssss
DEBUG 	 2019-04-21 02:31:38,946 TTTTT ------> UUUUU
DEBUG 	 2019-04-21 02:31:38,947 YYYYY ------> ZZZZZ
DEBUG 	 2019-04-21 02:31:38,948 AAAAA ------> BBBBB
DEBUG 	 2019-04-21 02:31:38,949 LLLLL ------> MMMMM
DEBUG 	 2019-04-21 02:31:38,950 KKKKK ------> LLLLL
DEBUG 	 2019-04-21 02:31:38,952 vvvvv ------> wwwww
DEBUG 	 2019-04-21 02:31:38,952 rrrrr ------> sssss
DEBUG 	 2019-04-21 02:31:38,953 FFFFF ------> GGGGG
