INFO 	 2019-04-21 02:29:13,808 Serial port COM3 opened successfully.
INFO 	 2019-04-21 02:29:13,808 Running: 1000 tests with baud rate: 500000
DEBUG 	 2019-04-21 02:29:13,809 i ------> j
DEBUG 	 2019-04-21 02:29:13,810 G ------> H
DEBUG 	 2019-04-21 02:29:13,811 B ------> C
DEBUG 	 2019-04-21 02:29:13,812 R ------> S
DEBUG 	 2019-04-21 02:29:13,813 r ------> s
DEBUG 	 2019-04-21 02:29:13,814 G ------> H
DEBUG 	 2019-04-21 02:29:13,815 e ------> f
DEBUG 	 2019-04-21 02:29:13,816 a ------> b
DEBUG 	 2019-04-21 02:29:13,817 l ------> m
DEBUG 	 2019-04-21 02:29:13,818 w ------> x
DEBUG 	 2019-04-21 02:29:13,819 E ------> F
DEBUG 	 2019-04-21 02:29:13,820 q ------> r
DEBUG 	 2019-04-21 02:29:13,821 p ------> q
DEBUG 	 2019-04-21 02:29:13,826 H ------> I
DEBUG 	 2019-04-21 02:29:13,827 X ------> Y
DEBUG 	 2019-04-21 02:29:13,828 p ------> q
DEBUG 	 2019-04-21 02:29:13,829 X ------> Y
DEBUG 	 2019-04-21 02:29:13,830 W ------> X
DEBUG 	 2019-04-21 02:29:13,831 C ------> D
DEBUG 	 2019-04-21 02:29:13,832 w ------> x
DEBUG 	 2019-04-21 02:29:13,833 e ------> f
DEBUG 	 2019-04-21 02:29:13,834 f ------> g
DEBUG 	 2019-04-21 02:29:13,835 a ------> b
DEBUG 	 2019-04-21 02:29:13,836 a ------> b
DEBUG 	 2019-04-21 02:29:13,837 O ------> P
DEBUG 	 2019-04-21 02:29:13,838 r ------> s
DEBUG 	 2019-04-21 02:29:13,839 J ------> K
DEBUG 	 2019-04-21 02:29:13,840 L ------> M
DEBUG 	 2019-04-21 02:29:13,841 E ------> F
DEBUG 	 2019-04-21 02:29:13,842 D ------> E
DEBUG 	 2019-04-21 02:29:13,843 D ------> E
DEBUG 	 2019-04-21 02:29:13,844 S ------> T
DEBUG 	 2019-04-21 02:29:13,845 T ------> U
DEBUG 	 2019-04-21 02:29:13,846 c ------> d
DEBUG 	 2019-04-21 02:29:13,847 a ------> b
DEBUG 	 2019-04-21 02:29:13,848 O ------> P
DEBUG 	 2019-04-21 02:29:13,849 R ------> S
DEBUG 	 2019-04-21 02:29:13,850 H ------> I
DEBUG 	 2019-04-21 02:29:13,851 H ------> I
DEBUG 	 2019-04-21 02:29:13,852 p ------> q
DEBUG 	 2019-04-21 02:29:13,853 S ------> T
DEBUG 	 2019-04-21 02:29:13,854 Z ------> A
DEBUG 	 2019-04-21 02:29:13,855 u ------> v
DEBUG 	 2019-04-21 02:29:13,856 p ------> q
DEBUG 	 2019-04-21 02:29:13,857 z ------> a
DEBUG 	 2019-04-21 02:29:13,858 V ------> W
DEBUG 	 2019-04-21 02:29:13,859 R ------> S
DEBUG 	 2019-04-21 02:29:13,860 w ------> x
DEBUG 	 2019-04-21 02:29:13,861 N ------> O
DEBUG 	 2019-04-21 02:29:13,862 V ------> W
DEBUG 	 2019-04-21 02:29:13,863 R ------> S
DEBUG 	 2019-04-21 02:29:13,864 u ------> v
DEBUG 	 2019-04-21 02:29:13,865 G ------> H
DEBUG 	 2019-04-21 02:29:13,866 R ------> S
DEBUG 	 2019-04-21 02:29:13,867 B ------> C
DEBUG 	 2019-04-21 02:29:13,868 Z ------> A
DEBUG 	 2019-04-21 02:29:13,869 y ------> z
DEBUG 	 2019-04-21 02:29:13,870 e ------> f
DEBUG 	 2019-04-21 02:29:13,871 V ------> W
DEBUG 	 2019-04-21 02:29:13,872 o ------> p
DEBUG 	 2019-04-21 02:29:13,873 n ------> o
DEBUG 	 2019-04-21 02:29:13,874 p ------> q
DEBUG 	 2019-04-21 02:29:13,875 W ------> X
DEBUG 	 2019-04-21 02:29:13,876 H ------> I
DEBUG 	 2019-04-21 02:29:13,877 a ------> b
DEBUG 	 2019-04-21 02:29:13,878 V ------> W
