INFO 	 2019-04-21 02:30:14,213 Serial port COM3 opened successfully.
INFO 	 2019-04-21 02:30:14,213 Running: 1000 tests with baud rate: 2000000
DEBUG 	 2019-04-21 02:30:14,214 q ------> r
DEBUG 	 2019-04-21 02:30:14,215 S ------> T
DEBUG 	 2019-04-21 02:30:14,216 g ------> h
DEBUG 	 2019-04-21 02:30:14,217 A ------> B
DEBUG 	 2019-04-21 02:30:14,218 d ------> e
DEBUG 	 2019-04-21 02:30:14,219 A ------> B
DEBUG 	 2019-04-21 02:30:14,220 S ------> T
DEBUG 	 2019-04-21 02:30:14,221 A ------> B
DEBUG 	 2019-04-21 02:30:14,222 s ------> t
DEBUG 	 2019-04-21 02:30:14,223 a ------> b
DEBUG 	 2019-04-21 02:30:14,224 m ------> n
DEBUG 	 2019-04-21 02:30:14,225 F ------> G
DEBUG 	 2019-04-21 02:30:14,226 U ------> V
DEBUG 	 2019-04-21 02:30:14,232 V ------> W
DEBUG 	 2019-04-21 02:30:14,233 T ------> U
DEBUG 	 2019-04-21 02:30:14,234 d ------> e
DEBUG 	 2019-04-21 02:30:14,235 j ------> k
DEBUG 	 2019-04-21 02:30:14,236 J ------> K
DEBUG 	 2019-04-21 02:30:14,237 U ------> V
DEBUG 	 2019-04-21 02:30:14,238 s ------> t
DEBUG 	 2019-04-21 02:30:14,239 E ------> F
DEBUG 	 2019-04-21 02:30:14,240 M ------> N
DEBUG 	 2019-04-21 02:30:14,241 E ------> F
DEBUG 	 2019-04-21 02:30:14,242 M ------> N
DEBUG 	 2019-04-21 02:30:14,243 N ------> O
DEBUG 	 2019-04-21 02:30:14,244 I ------> J
DEBUG 	 2019-04-21 02:30:14,245 x ------> y
DEBUG 	 2019-04-21 02:30:14,246 t ------> u
DEBUG 	 2019-04-21 02:30:14,247 T ------> U
DEBUG 	 2019-04-21 02:30:14,248 t ------> u
DEBUG 	 2019-04-21 02:30:14,249 m ------> n
DEBUG 	 2019-04-21 02:30:14,250 K ------> L
