INFO 	 2019-04-21 02:28:14,921 Serial port COM3 opened successfully.
INFO 	 2019-04-21 02:28:14,921 Running: 1000 tests with baud rate: 115200
DEBUG 	 2019-04-21 02:28:14,921 X ------> Y
DEBUG 	 2019-04-21 02:28:14,922 j ------> k
DEBUG 	 2019-04-21 02:28:14,923 e ------> f
DEBUG 	 2019-04-21 02:28:14,924 P ------> Q
DEBUG 	 2019-04-21 02:28:14,925 a ------> b
DEBUG 	 2019-04-21 02:28:14,926 b ------> c
DEBUG 	 2019-04-21 02:28:14,927 b ------> c
DEBUG 	 2019-04-21 02:28:14,928 i ------> j
DEBUG 	 2019-04-21 02:28:14,929 C ------> D
DEBUG 	 2019-04-21 02:28:14,930 N ------> O
DEBUG 	 2019-04-21 02:28:14,931 E ------> F
DEBUG 	 2019-04-21 02:28:14,932 i ------> j
DEBUG 	 2019-04-21 02:28:14,933 C ------> D
DEBUG 	 2019-04-21 02:28:14,934 e ------> f
DEBUG 	 2019-04-21 02:28:14,935 S ------> T
DEBUG 	 2019-04-21 02:28:14,936 S ------> T
DEBUG 	 2019-04-21 02:28:14,937 u ------> v
DEBUG 	 2019-04-21 02:28:14,938 X ------> Y
DEBUG 	 2019-04-21 02:28:14,939 j ------> k
DEBUG 	 2019-04-21 02:28:14,940 G ------> H
DEBUG 	 2019-04-21 02:28:14,941 w ------> x
DEBUG 	 2019-04-21 02:28:14,942 P ------> Q
DEBUG 	 2019-04-21 02:28:14,943 Y ------> Z
DEBUG 	 2019-04-21 02:28:14,944 T ------> U
DEBUG 	 2019-04-21 02:28:14,945 v ------> w
DEBUG 	 2019-04-21 02:28:14,946 L ------> M
DEBUG 	 2019-04-21 02:28:14,947 i ------> j
DEBUG 	 2019-04-21 02:28:14,948 M ------> N
DEBUG 	 2019-04-21 02:28:14,949 W ------> X
DEBUG 	 2019-04-21 02:28:14,950 a ------> b
DEBUG 	 2019-04-21 02:28:14,951 b ------> c
DEBUG 	 2019-04-21 02:28:14,952 T ------> U
DEBUG 	 2019-04-21 02:28:14,953 H ------> I
DEBUG 	 2019-04-21 02:28:14,954 U ------> V
DEBUG 	 2019-04-21 02:28:14,955 c ------> d
