INFO 	 2019-04-21 02:31:16,526 Serial port COM3 opened successfully.
INFO 	 2019-04-21 02:31:16,526 Running: 1000 tests with baud rate: 1500000
DEBUG 	 2019-04-21 02:31:16,527 sssss ------> ttttt
DEBUG 	 2019-04-21 02:31:16,528 BBBBB ------> CCCCC
DEBUG 	 2019-04-21 02:31:16,529 UUUUU ------> VVVVV
DEBUG 	 2019-04-21 02:31:16,530 zzzzz ------> aaaaa
DEBUG 	 2019-04-21 02:31:16,532 uuuuu ------> vvvvv
DEBUG 	 2019-04-21 02:31:16,533 aaaaa ------> bbbbb
DEBUG 	 2019-04-21 02:31:16,534 WWWWW ------> XXXXX
DEBUG 	 2019-04-21 02:31:16,535 MMMMM ------> NNNNN
DEBUG 	 2019-04-21 02:31:16,536 aaaaa ------> bbbbb
DEBUG 	 2019-04-21 02:31:16,537 YYYYY ------> ZZZZZ
DEBUG 	 2019-04-21 02:31:16,538 jjjjj ------> kkkkk
DEBUG 	 2019-04-21 02:31:16,544 eeeee ------> fffff
DEBUG 	 2019-04-21 02:31:16,545 BBBBB ------> CCCCC
DEBUG 	 2019-04-21 02:31:16,546 kkkkk ------> lllll
DEBUG 	 2019-04-21 02:31:16,547 EEEEE ------> FFFFF
DEBUG 	 2019-04-21 02:31:16,548 MMMMM ------> NNNN
DEBUG 	 2019-04-21 02:31:16,549 hhhhh ------> Niiiii
DEBUG 	 2019-04-21 02:31:16,550 xxxxx ------> yyyyy
DEBUG 	 2019-04-21 02:31:16,551 BBBBB ------> CCCCC
DEBUG 	 2019-04-21 02:31:16,552 zzzzz ------> aaaaa
DEBUG 	 2019-04-21 02:31:16,553 CCCCC ------> DDDDD
DEBUG 	 2019-04-21 02:31:16,555 fffff ------> ggggg
DEBUG 	 2019-04-21 02:31:16,556 QQQQQ ------> RRRRR
DEBUG 	 2019-04-21 02:31:16,557 QQQQQ ------> RRRRR
DEBUG 	 2019-04-21 02:31:16,558 VVVVV ------> WWWWW
DEBUG 	 2019-04-21 02:31:16,559 NNNNN ------> OOOOO
DEBUG 	 2019-04-21 02:31:16,560 ddddd ------> eeeee
DEBUG 	 2019-04-21 02:31:16,561 OOOOO ------> PPPPP
DEBUG 	 2019-04-21 02:31:16,562 HHHHH ------> IIIII
DEBUG 	 2019-04-21 02:31:16,563 JJJJJ ------> KKKKK
DEBUG 	 2019-04-21 02:31:16,564 ppppp ------> qqqqq
DEBUG 	 2019-04-21 02:31:16,565 fffff ------> ggggg
DEBUG 	 2019-04-21 02:31:16,566 BBBBB ------> CCCCC
DEBUG 	 2019-04-21 02:31:16,567 JJJJJ ------> KKKKK
DEBUG 	 2019-04-21 02:31:16,568 TTTTT ------> UUUUU
DEBUG 	 2019-04-21 02:31:16,569 KKKKK ------> LLLLL
DEBUG 	 2019-04-21 02:31:16,570 lllll ------> mmmmm
DEBUG 	 2019-04-21 02:31:16,571 qqqqq ------> rrrr
DEBUG 	 2019-04-21 02:31:16,572 ppppp ------> rqqqqq
DEBUG 	 2019-04-21 02:31:16,573 ddddd ------> eeeee
DEBUG 	 2019-04-21 02:31:16,574 IIIII ------> JJJJJ
DEBUG 	 2019-04-21 02:31:16,575 OOOOO ------> PPPPP
DEBUG 	 2019-04-21 02:31:16,576 BBBBB ------> CCCCC
DEBUG 	 2019-04-21 02:31:16,577 aaaaa ------> bbbbb
DEBUG 	 2019-04-21 02:31:16,578 NNNNN ------> OOOOO
DEBUG 	 2019-04-21 02:31:16,579 DDDDD ------> EEEEE
DEBUG 	 2019-04-21 02:31:16,580 HHHHH ------> IIIII
DEBUG 	 2019-04-21 02:31:16,581 zzzzz ------> aaaaa
DEBUG 	 2019-04-21 02:31:16,582 iiiii ------> jjjjj
DEBUG 	 2019-04-21 02:31:16,583 VVVVV ------> WWWWW
DEBUG 	 2019-04-21 02:31:16,584 OOOOO ------> PPPPP
DEBUG 	 2019-04-21 02:31:16,585 kkkkk ------> lllll
DEBUG 	 2019-04-21 02:31:16,586 ttttt ------> uuuuu
DEBUG 	 2019-04-21 02:31:16,587 FFFFF ------> GGGGG
DEBUG 	 2019-04-21 02:31:16,588 hhhhh ------> iiiii
DEBUG 	 2019-04-21 02:31:16,589 TTTTT ------> UUUUU
DEBUG 	 2019-04-21 02:31:16,590 VVVVV ------> WWWWW
DEBUG 	 2019-04-21 02:31:16,591 TTTTT ------> UUUUU
DEBUG 	 2019-04-21 02:31:16,592 bbbbb ------> ccccc
DEBUG 	 2019-04-21 02:31:16,593 RRRRR ------> SSSSS
DEBUG 	 2019-04-21 02:31:16,594 YYYYY ------> ZZZZZ
DEBUG 	 2019-04-21 02:31:16,595 XXXXX ------> YYYYY
DEBUG 	 2019-04-21 02:31:16,596 bbbbb ------> ccccc
DEBUG 	 2019-04-21 02:31:16,597 RRRRR ------> SSSSS
DEBUG 	 2019-04-21 02:31:16,598 ccccc ------> ddddd
DEBUG 	 2019-04-21 02:31:16,599 yyyyy ------> zzzzz
DEBUG 	 2019-04-21 02:31:16,600 ZZZZZ ------> AAAAA
DEBUG 	 2019-04-21 02:31:16,601 GGGGG ------> HHHHH
DEBUG 	 2019-04-21 02:31:16,602 RRRRR ------> SSSSS
DEBUG 	 2019-04-21 02:31:16,603 EEEEE ------> FFFFF
DEBUG 	 2019-04-21 02:31:16,604 HHHHH ------> IIIII
DEBUG 	 2019-04-21 02:31:16,605 KKKKK ------> LLLLL
DEBUG 	 2019-04-21 02:31:16,606 LLLLL ------> MMMMM
DEBUG 	 2019-04-21 02:31:16,607 JJJJJ ------> KKKKK
DEBUG 	 2019-04-21 02:31:16,608 QQQQQ ------> RRRRR
DEBUG 	 2019-04-21 02:31:16,609 lllll ------> mmmmm
DEBUG 	 2019-04-21 02:31:16,610 ZZZZZ ------> AAAAA
DEBUG 	 2019-04-21 02:31:16,611 LLLLL ------> MMMMM
DEBUG 	 2019-04-21 02:31:16,612 uuuuu ------> vvvvv
DEBUG 	 2019-04-21 02:31:16,613 HHHHH ------> IIIII
DEBUG 	 2019-04-21 02:31:16,614 hhhhh ------> iiiii
DEBUG 	 2019-04-21 02:31:16,615 DDDDD ------> EEEEE
DEBUG 	 2019-04-21 02:31:16,616 rrrrr ------> sssss
DEBUG 	 2019-04-21 02:31:16,617 QQQQQ ------> RRRRR
DEBUG 	 2019-04-21 02:31:16,618 WWWWW ------> XXXXX
DEBUG 	 2019-04-21 02:31:16,619 ppppp ------> qqqqq
DEBUG 	 2019-04-21 02:31:16,620 ooooo ------> ppppp
DEBUG 	 2019-04-21 02:31:16,621 KKKKK ------> LLLLL
DEBUG 	 2019-04-21 02:31:16,622 qqqqq ------> rrrr
DEBUG 	 2019-04-21 02:31:16,624 mmmmm ------> rnnnnn
DEBUG 	 2019-04-21 02:31:16,625 aaaaa ------> bbbbb
DEBUG 	 2019-04-21 02:31:16,625 yyyyy ------> zzzz
DEBUG 	 2019-04-21 02:31:16,627 hhhhh ------> ziiiii
DEBUG 	 2019-04-21 02:31:16,628 yyyyy ------> zzzzz
DEBUG 	 2019-04-21 02:31:16,629 fffff ------> ggggg
DEBUG 	 2019-04-21 02:31:16,630 DDDDD ------> EEEEE
DEBUG 	 2019-04-21 02:31:16,631 EEEEE ------> FFFFF
DEBUG 	 2019-04-21 02:31:16,633 sssss ------> ttttt
DEBUG 	 2019-04-21 02:31:16,634 eeeee ------> fffff
DEBUG 	 2019-04-21 02:31:16,636 nnnnn ------> ooooo
DEBUG 	 2019-04-21 02:31:16,637 uuuuu ------> vvvvv
DEBUG 	 2019-04-21 02:31:16,638 EEEEE ------> FFFFF
DEBUG 	 2019-04-21 02:31:16,639 GGGGG ------> HHHHH
DEBUG 	 2019-04-21 02:31:16,640 xxxxx ------> yyyyy
DEBUG 	 2019-04-21 02:31:16,641 eeeee ------> fffff
DEBUG 	 2019-04-21 02:31:16,642 SSSSS ------> TTTTT
DEBUG 	 2019-04-21 02:31:16,643 ggggg ------> hhhhh
DEBUG 	 2019-04-21 02:31:16,644 WWWWW ------> XXXXX
DEBUG 	 2019-04-21 02:31:16,645 VVVVV ------> WWWWW
DEBUG 	 2019-04-21 02:31:16,646 bbbbb ------> ccccc
DEBUG 	 2019-04-21 02:31:16,647 PPPPP ------> QQQQQ
DEBUG 	 2019-04-21 02:31:16,648 UUUUU ------> VVVVV
DEBUG 	 2019-04-21 02:31:16,649 IIIII ------> JJJJJ
DEBUG 	 2019-04-21 02:31:16,650 YYYYY ------> ZZZZZ
DEBUG 	 2019-04-21 02:31:16,651 aaaaa ------> bbbbb
DEBUG 	 2019-04-21 02:31:16,652 bbbbb ------> ccccc
DEBUG 	 2019-04-21 02:31:16,653 fffff ------> ggggg
DEBUG 	 2019-04-21 02:31:16,654 mmmmm ------> nnnnn
DEBUG 	 2019-04-21 02:31:16,655 NNNNN ------> OOOOO
DEBUG 	 2019-04-21 02:31:16,656 LLLLL ------> MMMMM
DEBUG 	 2019-04-21 02:31:16,657 YYYYY ------> ZZZZZ
DEBUG 	 2019-04-21 02:31:16,658 BBBBB ------> CCCCC
DEBUG 	 2019-04-21 02:31:16,658 hhhhh ------> iiiii
DEBUG 	 2019-04-21 02:31:16,659 YYYYY ------> ZZZZZ
DEBUG 	 2019-04-21 02:31:16,660 NNNNN ------> OOOOO
